Lesson  ,No,Word,Part,Meaning,Example
Back in time for dessert,1,chaperone,noun,an adult who supervises young people during an activity or trip,The teacher acted as a chaperone on the school field trip.
Back in time for dessert,2,laboratory,noun,a room or building where scientific experiments are done,The students wore goggles while working in the laboratory.
Back in time for dessert,3,throng,noun,large crowds of people,Throngs of fans filled the stadium before the concert began.
Back in time for dessert,4,stroll,verb,to walk slowly and in a relaxed way,"We were strolling through the park, enjoying the warm weather"
Back in time for dessert,5,reportedly,adverb,"according to what people say, though it may not be proven",The missing painting was reportedly found in an old attic.
Back in time for dessert,6,irregular,adjective,"not even, not following a normal pattern or rule",His heartbeat became irregular after the long race.
Back in time for dessert,7,swap,verb,to exchange one thing for another,The students swapped seats so they could work with new partners.
Back in time for dessert,8,clutch,verb,"to grab or hold something tightly, usually because of fear or strong feeling",She clutched her backpack when she heard a loud noise.
Back in time for dessert,9,smear,verb,to spread or rub something messily across a surface,The paint was smeared across the table by accident.
Back in time for dessert,10,transport,verb,to carry or move people or things from one place to another,Trucks transport food from farms to cities.
MCR Lesson 2-1,1,parched,adjective,very dry or having no moisture,He was parched after the long hike.
MCR Lesson 2-1,2,maize,noun,corn crop,Farmers can use large open lands to grow maize during the right season.
MCR Lesson 2-1,3,searing,adjective,very hot,The searing sun made the workers look for some shade.
MCR Lesson 2-1,4,withered,adjective,dried up; something that has lost vitality or freshness,The withered flowers have lost most of their nice color and scent.
MCR Lesson 2-1,5,brittle,adjective,easily broken,"The branches were dry and brittle, so we easily broke them and started our campfire."
MCR Lesson 2-1,6,nourish,verb,to help grow or improve in some way,The farmer works hard to nourish his crops and ensure a bountiful harvest.
MCR Lesson 2-1,7,crank,verb,to operate or turn a handle or lever,I am cranking the bicycle pedal by hand to make sure I fixed the chain correctly.
MCR Lesson 2-1,8,irrigate,verb,"to supply crops with water through a system of pipes, sprinklers, or streams",The farmer irrigated the dry land so he could grow corn.
MCR Lesson 2-1,9,rusted,adjective,metal that has become orange or reddish brown because it has been exposed to the air and water for a long period of time,My grandfather's old car is very rusted after sitting outside for decades.
MCR Lesson 2-1,10,worn-out,adjective,"damaged from over-use, to a point that it can no longer be used",My sneakers are worn-out from running everyday.
MCR Lesson 2-2,11,welder,noun,a person whose job is to join different metal parts together by using heat,My cousin is in training to become a welder so that he can work at a mechanic shop.
MCR Lesson 2-2,12,hoist,verb,"to raise, lift, or haul up, often using ropes or pulleys",He hoisted the flag to the top of the pole.
MCR Lesson 2-2,13,inspector,noun,a person who reviews and examines something carefully,The fire inspector found what caused the house to burn down.
MCR Lesson 2-2,14,circuit breaker,noun,a switch or other device that automatically breaks an electric circuit when too much electricity flows through it,The circuit breaker switched on and all of the house's power immediately turned off.
MCR Lesson 2-2,15,photograph,verb,to capture or take a picture using a camera or other imaging device,My sister is often photographed because she works as a model.
MCR Lesson 2-2,16,prestigious,adjective,having a high reputation or honor; very important and impressive,The most prestigious award in our school is Student of the Year.
MCR Lesson 2-2,17,ovation,noun,a prolonged or enthusiastic episode of applause for someone,The dancers received a standing ovation from the audience after their great performance.
MCR Lesson 2-2,18,auditorium,noun,a large room where an audience gathers for a presentation or performance,The students gathered in the school auditorium to watch the school assembly.
MCR Lesson 2-2,19,modestly,adverb,"acting in a way that is not too bold, self-assertive or aggressive",Susie modestly explained how she had come up with her new invention.
MCR Lesson 2-2,20,impoverished,adjective,very poor,The impoverished nation is struggling to keep its citizens from starving.
MCR Lesson 3-1,1,soar,verb,"to fly or glide in a swift, easy way and at a very great height",The eagle was soaring high above us as we walked along the hiking trail.
MCR Lesson 3-1,2,hang glider,noun,a machine that looks like a large kite and can be used by people for sailing in the air,"When I was on vacation, I had the chance to use a hang glider at the beach."
MCR Lesson 3-1,3,therapy,noun,treatment meant to cure a disease or heal an injury,I needed months of physical therapy for my legs after the car accident.
MCR Lesson 3-1,4,blistered,adjective,"having swollen areas on the surface, like bubbles filled with air or liquid",My hands were blistered after playing tug-of-war with my friends all day.
MCR Lesson 3-1,5,maneuver,verb,to move something,A car with a broken steering wheel would be impossible to maneuver.
MCR Lesson 3-1,6,imprison,verb,to put or keep in prison; to not be able to leave a place,He was imprisoned for forty years.
MCR Lesson 3-1,7,persuade,verb,to lead someone to act by using reason or argument,The soccer coach persuaded her to try out for the soccer team.
MCR Lesson 3-1,8,specialize,verb,to become skilled or knowledgeable in a specific field,"My dad specializes in building guitars, so people come from around the world to buy one from him."
MCR Lesson 3-1,9,elite,adjective,the best or most skilled,Mozart was an elite pianist who composed many masterpieces.
MCR Lesson 3-1,10,objective,noun,a goal,The objective of a vacation is to relax and do things that you enjoy.
MCR Lesson 3-1,11,traditional,adjective,made or done in a certain way for a very long time,Kimchi is a traditional food from South Korea.
MCR Lesson 3-1,12,obvious,adjective,easily understood or clear,The doctor immediately noticed the obvious signs of the disease.
MCR Lesson 3-1,13,efficient,adjective,"operating or working in a way that gets results, with little wasted effort",He is a very efficient worker.
MCR Lesson 3-1,14,principle,noun,a basic law or truth on which action or behavior is based,Our country's laws are based on the principles of liberty and justice.
MCR Lesson 3-1,15,surgeon,noun,a medical doctor who does surgery,He met the surgeon who was going to operate on his knee.
MCR Lesson 3-1,16,infection,noun,an illness caused by germs,The wound has so far remained free of infection.
MCR Lesson 3-1,17,patient,noun,a person that is getting medical treatment,The doctor asked the patient how long he had been feeling sick.
MCR Lesson 3-1,18,prescribed,adjective,"having been suggested as a medicine or treatment, generally by a doctor",The prescribed treatment for the illness was a medication and rest.
MCR Lesson 3-1,19,discharge,verb,to release from a place such as a hospital,He was not discharged from the hospital for three weeks.
MCR Lesson 3-1,20,competitor,noun,"a person, group or company that competes",My sister and I were competitors in the race.
Wordly Wise 3000 - Lesson 2,1,aroma,,"(n.) A smell or odor, especially a pleasant one.",The aroma of hot buttered popcorn made our mouths water.
Wordly Wise 3000 - Lesson 2,2,beverage,,(n.) A liquid used as a drink.,"When we ordered our beverages, I chose lemonade."
Wordly Wise 3000 - Lesson 2,3,bland,,"1. (adj.) Lacking a strong flavor.
2. (adj.) Not irritating, exciting, or disturbing.",
Wordly Wise 3000 - Lesson 2,4,brittle,,(adj.) Easily broken; not flexible.,
Wordly Wise 3000 - Lesson 2,5,cluster,,"(n.) A number of similar things grouped together.
(v.) To gather or come together in a group.",
Wordly Wise 3000 - Lesson 2,6,combine,,(v.) To join or bring together,
Wordly Wise 3000 - Lesson 2,7,consume,,"1. (v.) To use up.
2. (v.) To eat or drink.
3. (v.) To do away with or destroy.",
Wordly Wise 3000 - Lesson 2,8,crave,,(v.) To have a strong desire for,
Wordly Wise 3000 - Lesson 2,9,cultivate,,"1. (v.) To prepare land for the growing of crops.
2. (v.) To grow or to help to grow.
3. (v.) To encourage development by attention or study.",
Wordly Wise 3000 - Lesson 2,10,equivalent,,"(adj.) Equal to.
(n.) That which is equal to.",
Wordly Wise 3000 - Lesson 2,11,export,,"(v.) To send goods to another country for sale.
(n.) Something exported.",
Wordly Wise 3000 - Lesson 2,12,extract,,"1. (v.) To remove or take out.
2. (v.) To obtain with an effort.
3. (n.) Something removed or taken out.",
Wordly Wise 3000 - Lesson 2,13,introduce,,"1. (v.) To cause to know; to make known by name.
2. (v.) To bring to the attention of, especially for the first time.
3. (v.) To bring into use.",
Wordly Wise 3000 - Lesson 2,14,purchase,,"(v.) To buy.
1. (n.) Something that is bought.
2. (n.) The act of buying.",
Wordly Wise 3000 - Lesson 2,15,tropical,,"1. (adj.) Of, from, or similar to the regions near the equator.
2. (adj.) Hot and moist.",
Wordly Wise 3000 - Lesson 3,1,ancestor,,"n. 1. A person from whom one is descended.
2. An early kind of animal from which later ones have developed; a forerunner.",
Wordly Wise 3000 - Lesson 3,2,carnivore,,n. A flesh-eating animal.,
Wordly Wise 3000 - Lesson 3,3,comprehend,,v. To understand.,
Wordly Wise 3000 - Lesson 3,4,duration,,n. The time during which something lasts or continues.,
Wordly Wise 3000 - Lesson 3,5,evident,,"adj. Easy to see and understand; obvious, clear.",
Wordly Wise 3000 - Lesson 3,6,extinct,,"adj. 1. No longer existing or living.
2. No longer active.",
Wordly Wise 3000 - Lesson 3,7,ferocious,,adj. Savage; fierce.,
Wordly Wise 3000 - Lesson 3,8,gigantic,,adj. Very large; like a giant in size.,
Wordly Wise 3000 - Lesson 3,9,obscure,,"v. To cover up or keep from being seen.
adj. 1. Hard to see; hidden.
2. Not easy to understand.",
Wordly Wise 3000 - Lesson 3,10,option,,"n. Choice, or something that is available as a choice.",
Wordly Wise 3000 - Lesson 3,11,premature,,adj. Too early; happening or arriving before the proper time.,
Wordly Wise 3000 - Lesson 3,12,preserve,,"v. 1. To save; to keep from harm; to protect.
2. To keep from rotting or spoiling.",
Wordly Wise 3000 - Lesson 3,13,prey,,"n. 1. An animal that is hunted for food.
2. One that is helpless or unable to resist attack; a victim.
v. 1. To hunt (animals) for food.
2. To take from or rob using violence or trickery.",
Wordly Wise 3000 - Lesson 3,14,puny,,"adj. 1. Weak.
2. Lacking in size, strength, or power.",
Wordly Wise 3000 - Lesson 3,15,survive,,"v. 1. To stay alive where there is a chance of dying or being killed.
2. To continue living or existing through a threatening situation.",
Wordly Wise 3000 - Lesson 4,1,accurate,,"adj. 1. Able to give a correct reading or measurement. 
2. Without mistakes or errors in facts.",
Wordly Wise 3000 - Lesson 4,2,approximate,,"adj. Not exact, but close enough to be reasonably correct.",
Wordly Wise 3000 - Lesson 4,3,course,,"n. 1. The path over which something moves. 
2. A way of acting or behaving. 
3. A subject or set of subjects to be studied.",
Wordly Wise 3000 - Lesson 4,4,depart,,v. To leave; to go away from a place.,
Wordly Wise 3000 - Lesson 4,5,despair,,"v. To lose hope. 
n. A total lack of hope.",
Wordly Wise 3000 - Lesson 4,6,destination,,n. The place to which something or someone is going.,
Wordly Wise 3000 - Lesson 4,7,deteriorate,,v. To make or become worse.,
Wordly Wise 3000 - Lesson 4,8,gale,,"n. 1. A very strong wind. 
2. A loud outburst.",
Wordly Wise 3000 - Lesson 4,9,horizon,,n. The apparent line in the distance where the sky meets the sea or land.,
Wordly Wise 3000 - Lesson 4,10,jubilation,,n. A feeling or expression of great joy.,
Wordly Wise 3000 - Lesson 4,11,navigate,,v. To calculate or direct the movement of a ship or aircraft.,
Wordly Wise 3000 - Lesson 4,12,nostalgia,,n. A longing for a certain time in the past.,
Wordly Wise 3000 - Lesson 4,13,revive,,"v. 1. To make or become strong again. 
2. To bring back into use or fashion.",
Wordly Wise 3000 - Lesson 4,14,sever,,"v. 1. To break off. 
2. To cut in two.",
Wordly Wise 3000 - Lesson 4,15,voyage,,"n. A long journey by sea or in space. 
v. To make a journey by sea or in space.",
